filepath,filename,main_category,sub_category,brand
images\ut-zap50k\Boots\Mid-Calf\Khombu\8003617.3.jpg,8003617.3.jpg,Boots,Mid-Calf,Khombu
images\ut-zap50k\Shoes\Loafers\Elephantito\7764214.6.jpg,7764214.6.jpg,Shoes,Loafers,Elephantito
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Asolo\7757940.44450.jpg,7757940.44450.jpg,Shoes,Sneakers and Athletic Shoes,Asolo
images\ut-zap50k\Boots\Ankle\Nine West\8076422.72.jpg,8076422.72.jpg,Boots,Ankle,Nine West
images\ut-zap50k\Shoes\Clogs and Mules\Frye\7967350.3.jpg,7967350.3.jpg,Shoes,Clogs and Mules,Frye
images\ut-zap50k\Sandals\Flat\OluKai\7912017.394196.jpg,7912017.394196.jpg,Sandals,Flat,OluKai
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike\7925447.353289.jpg,7925447.353289.jpg,Shoes,Sneakers and Athletic Shoes,Nike
images\ut-zap50k\Shoes\Heels\Vaneli\8004363.365151.jpg,8004363.365151.jpg,Shoes,Heels,Vaneli
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Geox Kids\8015690.30025.jpg,8015690.30025.jpg,Shoes,Sneakers and Athletic Shoes,Geox Kids
images\ut-zap50k\Sandals\Flat\Sergio Rossi\7996951.3986.jpg,7996951.3986.jpg,Sandals,Flat,Sergio Rossi
images\ut-zap50k\Shoes\Loafers\Venettini Kids\7940831.342810.jpg,7940831.342810.jpg,Shoes,Loafers,Venettini Kids
images\ut-zap50k\Boots\Mid-Calf\Tecnica\7997971.49185.jpg,7997971.49185.jpg,Boots,Mid-Calf,Tecnica
images\ut-zap50k\Boots\Mid-Calf\Rachel Roy\8046489.3.jpg,8046489.3.jpg,Boots,Mid-Calf,Rachel Roy
images\ut-zap50k\Shoes\Heels\rsvp\8044114.3.jpg,8044114.3.jpg,Shoes,Heels,rsvp
images\ut-zap50k\Boots\Mid-Calf\Bogs Kids\7976660.1137.jpg,7976660.1137.jpg,Boots,Mid-Calf,Bogs Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Spira\7696316.183092.jpg,7696316.183092.jpg,Shoes,Sneakers and Athletic Shoes,Spira
images\ut-zap50k\Boots\Ankle\Frye\7821545.247339.jpg,7821545.247339.jpg,Boots,Ankle,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\ECCO\7888895.325050.jpg,7888895.325050.jpg,Shoes,Sneakers and Athletic Shoes,ECCO
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Bloch Kids\7708481.3.jpg,7708481.3.jpg,Shoes,Sneakers and Athletic Shoes,Bloch Kids
images\ut-zap50k\Boots\Knee High\Matisse\7993354.478.jpg,7993354.478.jpg,Boots,Knee High,Matisse
images\ut-zap50k\Shoes\Oxfords\Dr. Martens\8004225.168593.jpg,8004225.168593.jpg,Shoes,Oxfords,Dr. Martens
images\ut-zap50k\Shoes\Loafers\Steve Madden\7799543.665.jpg,7799543.665.jpg,Shoes,Loafers,Steve Madden
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Giro\8004010.14874.jpg,8004010.14874.jpg,Shoes,Sneakers and Athletic Shoes,Giro
images\ut-zap50k\Shoes\Oxfords\Frye\7594659.301558.jpg,7594659.301558.jpg,Shoes,Oxfords,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Merrell\7813505.3.jpg,7813505.3.jpg,Shoes,Sneakers and Athletic Shoes,Merrell
images\ut-zap50k\Shoes\Heels\Vince Camuto\8113267.403380.jpg,8113267.403380.jpg,Shoes,Heels,Vince Camuto
images\ut-zap50k\Shoes\Loafers\Nine West\8113204.1711.jpg,8113204.1711.jpg,Shoes,Loafers,Nine West
images\ut-zap50k\Shoes\Clogs and Mules\Clarks\7993157.328.jpg,7993157.328.jpg,Shoes,Clogs and Mules,Clarks
images\ut-zap50k\Boots\Mid-Calf\UGG\8041962.406039.jpg,8041962.406039.jpg,Boots,Mid-Calf,UGG
images\ut-zap50k\Shoes\Heels\Shoe Be Doo\7946373.344388.jpg,7946373.344388.jpg,Shoes,Heels,Shoe Be Doo
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Puma Kids\8020187.182353.jpg,8020187.182353.jpg,Shoes,Sneakers and Athletic Shoes,Puma Kids
images\ut-zap50k\Shoes\Heels\Stuart Weitzman\7998983.356430.jpg,7998983.356430.jpg,Shoes,Heels,Stuart Weitzman
images\ut-zap50k\Shoes\Heels\Pikolinos\7934455.23562.jpg,7934455.23562.jpg,Shoes,Heels,Pikolinos
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Vans Kids\7319043.311403.jpg,7319043.311403.jpg,Shoes,Sneakers and Athletic Shoes,Vans Kids
images\ut-zap50k\Boots\Knee High\Stuart Weitzman\7558814.106.jpg,7558814.106.jpg,Boots,Knee High,Stuart Weitzman
images\ut-zap50k\Shoes\Loafers\Fratelli\8105483.184651.jpg,8105483.184651.jpg,Shoes,Loafers,Fratelli
images\ut-zap50k\Boots\Ankle\Frye\7190298.3.jpg,7190298.3.jpg,Boots,Ankle,Frye
images\ut-zap50k\Boots\Ankle\Call it SPRING\8056711.973.jpg,8056711.973.jpg,Boots,Ankle,Call it SPRING
images\ut-zap50k\Boots\Knee High\Earth\8027607.6.jpg,8027607.6.jpg,Boots,Knee High,Earth
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\ECCO Sport\7903845.62382.jpg,7903845.62382.jpg,Shoes,Sneakers and Athletic Shoes,ECCO Sport
images\ut-zap50k\Boots\Mid-Calf\Me Too\8111451.3.jpg,8111451.3.jpg,Boots,Mid-Calf,Me Too
images\ut-zap50k\Boots\Mid-Calf\UGG\7656122.47816.jpg,7656122.47816.jpg,Boots,Mid-Calf,UGG
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Ryka\7990309.360764.jpg,7990309.360764.jpg,Shoes,Sneakers and Athletic Shoes,Ryka
images\ut-zap50k\Sandals\Flat\Nine West\8113675.2061.jpg,8113675.2061.jpg,Sandals,Flat,Nine West
images\ut-zap50k\Boots\Ankle\Nine West\8046431.72.jpg,8046431.72.jpg,Boots,Ankle,Nine West
images\ut-zap50k\Shoes\Oxfords\Rockport\7996677.3.jpg,7996677.3.jpg,Shoes,Oxfords,Rockport
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Ragg Kids\7847731.632.jpg,7847731.632.jpg,Shoes,Sneakers and Athletic Shoes,Ragg Kids
images\ut-zap50k\Shoes\Clogs and Mules\La Plume\8020347.3.jpg,8020347.3.jpg,Shoes,Clogs and Mules,La Plume
images\ut-zap50k\Shoes\Heels\Vigotti\7736398.3528.jpg,7736398.3528.jpg,Shoes,Heels,Vigotti
images\ut-zap50k\Shoes\Loafers\Hush Puppies\8064515.388.jpg,8064515.388.jpg,Shoes,Loafers,Hush Puppies
images\ut-zap50k\Boots\Mid-Calf\White Mountain\8039450.275.jpg,8039450.275.jpg,Boots,Mid-Calf,White Mountain
images\ut-zap50k\Boots\Ankle\Cole Haan\7823218.53222.jpg,7823218.53222.jpg,Boots,Ankle,Cole Haan
images\ut-zap50k\Sandals\Flat\taos Footwear\8132515.3.jpg,8132515.3.jpg,Sandals,Flat,taos Footwear
images\ut-zap50k\Shoes\Oxfords\A. Testoni\7898349.98975.jpg,7898349.98975.jpg,Shoes,Oxfords,A. Testoni
images\ut-zap50k\Boots\Ankle\CARLOS by Carlos Santana\8048394.13038.jpg,8048394.13038.jpg,Boots,Ankle,CARLOS by Carlos Santana
images\ut-zap50k\Shoes\Heels\Gabriella Rocha\7586333.1141.jpg,7586333.1141.jpg,Shoes,Heels,Gabriella Rocha
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse\7894946.275.jpg,7894946.275.jpg,Shoes,Sneakers and Athletic Shoes,Converse
images\ut-zap50k\Shoes\Oxfords\Eastland\7843134.3.jpg,7843134.3.jpg,Shoes,Oxfords,Eastland
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7798221.320960.jpg,7798221.320960.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Shoes\Heels\Diba\7944342.5249.jpg,7944342.5249.jpg,Shoes,Heels,Diba
images\ut-zap50k\Shoes\Flats\FootMates\8030527.9.jpg,8030527.9.jpg,Shoes,Flats,FootMates
images\ut-zap50k\Shoes\Loafers\Frye\7880649.227443.jpg,7880649.227443.jpg,Shoes,Loafers,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Diesel\8002230.958.jpg,8002230.958.jpg,Shoes,Sneakers and Athletic Shoes,Diesel
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Vans Kids\7916405.356241.jpg,7916405.356241.jpg,Shoes,Sneakers and Athletic Shoes,Vans Kids
images\ut-zap50k\Sandals\Flat\Ziera\7996552.3.jpg,7996552.3.jpg,Sandals,Flat,Ziera
images\ut-zap50k\Boots\Ankle\La Canadienne\7261878.72.jpg,7261878.72.jpg,Boots,Ankle,La Canadienne
images\ut-zap50k\Shoes\Heels\David Tate\7471455.3397.jpg,7471455.3397.jpg,Shoes,Heels,David Tate
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Versace Collection\8087123.408.jpg,8087123.408.jpg,Shoes,Sneakers and Athletic Shoes,Versace Collection
images\ut-zap50k\Boots\Knee High\Garvalin Kids\8008413.3.jpg,8008413.3.jpg,Boots,Knee High,Garvalin Kids
images\ut-zap50k\Sandals\Flat\DKNY\8083583.632.jpg,8083583.632.jpg,Sandals,Flat,DKNY
images\ut-zap50k\Shoes\Flats\Designer's Touch Kids\7692833.3.jpg,7692833.3.jpg,Shoes,Flats,Designer's Touch Kids
images\ut-zap50k\Boots\Knee High\Betsey Johnson\8058402.4706.jpg,8058402.4706.jpg,Boots,Knee High,Betsey Johnson
images\ut-zap50k\Shoes\Clogs and Mules\Fly Flot\7701935.67808.jpg,7701935.67808.jpg,Shoes,Clogs and Mules,Fly Flot
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Original Penguin\7977383.372288.jpg,7977383.372288.jpg,Shoes,Sneakers and Athletic Shoes,Original Penguin
images\ut-zap50k\Shoes\Loafers\Enzo Angiolini\7490277.255046.jpg,7490277.255046.jpg,Shoes,Loafers,Enzo Angiolini
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\8047043.378356.jpg,8047043.378356.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Shoes\Oxfords\Sperry Top-Sider\7969413.47361.jpg,7969413.47361.jpg,Shoes,Oxfords,Sperry Top-Sider
images\ut-zap50k\Boots\Ankle\SKECHERS\8076012.607.jpg,8076012.607.jpg,Boots,Ankle,SKECHERS
images\ut-zap50k\Sandals\Flat\UGG\7963032.621.jpg,7963032.621.jpg,Sandals,Flat,UGG
images\ut-zap50k\Sandals\Flat\Paul Smith\8081680.50220.jpg,8081680.50220.jpg,Sandals,Flat,Paul Smith
images\ut-zap50k\Shoes\Loafers\Donald J Pliner\8034207.3.jpg,8034207.3.jpg,Shoes,Loafers,Donald J Pliner
images\ut-zap50k\Boots\Ankle\Sperry Top-Sider\7969456.325.jpg,7969456.325.jpg,Boots,Ankle,Sperry Top-Sider
images\ut-zap50k\Boots\Mid-Calf\Dr. Martens\7191285.82.jpg,7191285.82.jpg,Boots,Mid-Calf,Dr. Martens
images\ut-zap50k\Shoes\Flats\Rachel Kids\8025343.89.jpg,8025343.89.jpg,Shoes,Flats,Rachel Kids
images\ut-zap50k\Boots\Mid-Calf\Diba\8072372.24897.jpg,8072372.24897.jpg,Boots,Mid-Calf,Diba
images\ut-zap50k\Shoes\Flats\Enzo Kids\7866415.3.jpg,7866415.3.jpg,Shoes,Flats,Enzo Kids
images\ut-zap50k\Shoes\Heels\rsvp\8044126.3464.jpg,8044126.3464.jpg,Shoes,Heels,rsvp
images\ut-zap50k\Shoes\Prewalker\Sperry Kids\8052173.393835.jpg,8052173.393835.jpg,Shoes,Prewalker,Sperry Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\7978441.370143.jpg,7978441.370143.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Sandals\Flat\Havaianas\7933395.131733.jpg,7933395.131733.jpg,Sandals,Flat,Havaianas
images\ut-zap50k\Sandals\Flat\Circa Joan & David\8133666.409751.jpg,8133666.409751.jpg,Sandals,Flat,Circa Joan & David
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Keen Kids\7716245.327439.jpg,7716245.327439.jpg,Shoes,Sneakers and Athletic Shoes,Keen Kids
images\ut-zap50k\Boots\Ankle\Tommy Hilfiger Kids\8027980.6.jpg,8027980.6.jpg,Boots,Ankle,Tommy Hilfiger Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Brooks\7787251.351110.jpg,7787251.351110.jpg,Shoes,Sneakers and Athletic Shoes,Brooks
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7837556.6.jpg,7837556.6.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\7883255.357959.jpg,7883255.357959.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Boots\Mid-Calf\Stride Rite\7999911.214802.jpg,7999911.214802.jpg,Boots,Mid-Calf,Stride Rite
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Puma Kids\7892101.173219.jpg,7892101.173219.jpg,Shoes,Sneakers and Athletic Shoes,Puma Kids
images\ut-zap50k\Boots\Ankle\Blondo\8016203.368434.jpg,8016203.368434.jpg,Boots,Ankle,Blondo
images\ut-zap50k\Shoes\Flats\Old Friend\7825190.3.jpg,7825190.3.jpg,Shoes,Flats,Old Friend
images\ut-zap50k\Boots\Mid-Calf\Harley-Davidson\7822671.6.jpg,7822671.6.jpg,Boots,Mid-Calf,Harley-Davidson
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DC Kids\7605805.142564.jpg,7605805.142564.jpg,Shoes,Sneakers and Athletic Shoes,DC Kids
images\ut-zap50k\Shoes\Flats\Arcopedico\7396952.3.jpg,7396952.3.jpg,Shoes,Flats,Arcopedico
images\ut-zap50k\Shoes\Heels\Zigi\8098526.767.jpg,8098526.767.jpg,Shoes,Heels,Zigi
images\ut-zap50k\Boots\Mid-Calf\Geox Kids\8033932.504.jpg,8033932.504.jpg,Boots,Mid-Calf,Geox Kids
images\ut-zap50k\Shoes\Clogs and Mules\SoftWalk\7820473.3.jpg,7820473.3.jpg,Shoes,Clogs and Mules,SoftWalk
images\ut-zap50k\Sandals\Flat\Naot Footwear\7749145.275362.jpg,7749145.275362.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Shoes\Loafers\Alegria\8108130.202704.jpg,8108130.202704.jpg,Shoes,Loafers,Alegria
images\ut-zap50k\Sandals\Flat\Softspots\8110331.2957.jpg,8110331.2957.jpg,Sandals,Flat,Softspots
images\ut-zap50k\Slippers\Slipper Flats\O'Neill\8048520.423.jpg,8048520.423.jpg,Slippers,Slipper Flats,O'Neill
images\ut-zap50k\Boots\Ankle\Big Buddha\8047085.43863.jpg,8047085.43863.jpg,Boots,Ankle,Big Buddha
images\ut-zap50k\Boots\Ankle\Lucchese\7993915.375257.jpg,7993915.375257.jpg,Boots,Ankle,Lucchese
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance Classics\117623.326901.jpg,117623.326901.jpg,Shoes,Sneakers and Athletic Shoes,New Balance Classics
images\ut-zap50k\Boots\Ankle\Bogs\7987446.158.jpg,7987446.158.jpg,Boots,Ankle,Bogs
images\ut-zap50k\Sandals\Flat\Onex\7762301.10883.jpg,7762301.10883.jpg,Sandals,Flat,Onex
images\ut-zap50k\Boots\Ankle\Teva\7960680.3.jpg,7960680.3.jpg,Boots,Ankle,Teva
images\ut-zap50k\Shoes\Loafers\Fratelli\7993219.3.jpg,7993219.3.jpg,Shoes,Loafers,Fratelli
images\ut-zap50k\Boots\Knee High\ALDO\8096763.60941.jpg,8096763.60941.jpg,Boots,Knee High,ALDO
images\ut-zap50k\Shoes\Heels\Madden Girl\8120038.80.jpg,8120038.80.jpg,Shoes,Heels,Madden Girl
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7942186.14.jpg,7942186.14.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Shoes\Loafers\Venettini Kids\8039910.376205.jpg,8039910.376205.jpg,Shoes,Loafers,Venettini Kids
images\ut-zap50k\Shoes\Flats\SKECHERS\8128971.176648.jpg,8128971.176648.jpg,Shoes,Flats,SKECHERS
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\8058686.382775.jpg,8058686.382775.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Shoes\Clogs and Mules\Crocs\7386953.135411.jpg,7386953.135411.jpg,Shoes,Clogs and Mules,Crocs
images\ut-zap50k\Slippers\Slipper Flats\Cushe\8082193.3.jpg,8082193.3.jpg,Slippers,Slipper Flats,Cushe
images\ut-zap50k\Boots\Ankle\Magnum\7563362.307.jpg,7563362.307.jpg,Boots,Ankle,Magnum
images\ut-zap50k\Boots\Ankle\Levi's&#174; Shoes\7939137.529.jpg,7939137.529.jpg,Boots,Ankle,Levi's&#174; Shoes
images\ut-zap50k\Shoes\Loafers\DV by Dolce Vita\8016762.585.jpg,8016762.585.jpg,Shoes,Loafers,DV by Dolce Vita
images\ut-zap50k\Sandals\Flat\Earth\7894194.621.jpg,7894194.621.jpg,Sandals,Flat,Earth
images\ut-zap50k\Boots\Ankle\VOLATILE\8030296.3.jpg,8030296.3.jpg,Boots,Ankle,VOLATILE
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony\8044097.11399.jpg,8044097.11399.jpg,Shoes,Sneakers and Athletic Shoes,Saucony
images\ut-zap50k\Sandals\Flat\Gypsy SOULE\7868753.3.jpg,7868753.3.jpg,Sandals,Flat,Gypsy SOULE
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Montrail\7920236.335115.jpg,7920236.335115.jpg,Shoes,Sneakers and Athletic Shoes,Montrail
images\ut-zap50k\Boots\Mid-Calf\Sperry Top-Sider\8008971.3575.jpg,8008971.3575.jpg,Boots,Mid-Calf,Sperry Top-Sider
images\ut-zap50k\Shoes\Heels\Annie\8014580.3397.jpg,8014580.3397.jpg,Shoes,Heels,Annie
images\ut-zap50k\Boots\Mid-Calf\VOLATILE\8030323.3.jpg,8030323.3.jpg,Boots,Mid-Calf,VOLATILE
images\ut-zap50k\Sandals\Flat\Gypsy SOULE\7850509.3.jpg,7850509.3.jpg,Sandals,Flat,Gypsy SOULE
images\ut-zap50k\Boots\Mid-Calf\Martino\8071390.3.jpg,8071390.3.jpg,Boots,Mid-Calf,Martino
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\The North Face\7999551.363840.jpg,7999551.363840.jpg,Shoes,Sneakers and Athletic Shoes,The North Face
images\ut-zap50k\Shoes\Heels\Stuart Weitzman Kids\7994355.3.jpg,7994355.3.jpg,Shoes,Heels,Stuart Weitzman Kids
images\ut-zap50k\Boots\Ankle\Wolky\8024859.7275.jpg,8024859.7275.jpg,Boots,Ankle,Wolky
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Puma Kids\7989623.125876.jpg,7989623.125876.jpg,Shoes,Sneakers and Athletic Shoes,Puma Kids
images\ut-zap50k\Sandals\Flat\Pedro Garcia\8062845.384473.jpg,8062845.384473.jpg,Sandals,Flat,Pedro Garcia
images\ut-zap50k\Sandals\Flat\Naot Footwear\7895807.275218.jpg,7895807.275218.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Slippers\Slipper Flats\Acorn\7387931.1712.jpg,7387931.1712.jpg,Slippers,Slipper Flats,Acorn
images\ut-zap50k\Boots\Mid-Calf\Jessica Simpson Kids\8007769.179767.jpg,8007769.179767.jpg,Boots,Mid-Calf,Jessica Simpson Kids
images\ut-zap50k\Shoes\Heels\Gabriella Rocha\7371547.2461.jpg,7371547.2461.jpg,Shoes,Heels,Gabriella Rocha
images\ut-zap50k\Sandals\Flat\Birkenstock\7501940.153472.jpg,7501940.153472.jpg,Sandals,Flat,Birkenstock
images\ut-zap50k\Slippers\Boot\Foamtreads\7464546.68.jpg,7464546.68.jpg,Slippers,Boot,Foamtreads
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7942209.105642.jpg,7942209.105642.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
